Models,fpr,tpr,auc,ACC,MCC
LSTM,[0.         0.08695652 1.        ],[0.         0.52173913 1.        ],0.7173913043478262,0.7826086973798447,0.4856429311786321
S-LSTM,[0.         0.10869565 1.        ],[0.         0.58695652 1.        ],0.7391304347826086,0.7898550715999327,0.5089511848264616
B-LSTM,[0.         0.15217391 1.        ],[0.         0.52173913 1.        ],0.6847826086956522,0.7391304339187733,0.39000674757995496
CNN-LSTM,[0.         0.10869565 1.        ],[0.         0.43478261 1.        ],0.6630434782608695,0.7391304339187733,0.37267799624996495
CNN-BLSTM,[0.         0.10869565 1.        ],[0.         0.43478261 1.        ],0.6630434782608695,0.7391304365102795,0.37267799624996495
